VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:30:55,2019-01-01 00:41:51,1,1.61,1,N,170,229,2,9,0.5,0.5,0,0,0.3,10.3,
2,2019-01-01 00:43:53,2019-01-01 00:57:54,1,2.38,1,N,229,142,2,11.5,0.5,0.5,0,0,0.3,12.8,
2,2019-01-01 00:19:37,2019-01-01 00:49:36,1,9.81,1,N,68,228,1,31.5,0.5,0.5,9.84,0,0.3,42.64,
2,2019-01-01 00:57:02,2019-01-01 02:05:25,1,14.06,1,N,228,226,1,51,0.5,0.5,0,0,0.3,52.3,
2,2019-01-01 00:07:09,2019-01-01 00:15:32,4,.90,1,N,163,162,1,7,0.5,0.5,2.49,0,0.3,10.79,
2,2019-01-01 00:31:09,2019-01-01 00:49:26,4,5.87,1,N,236,232,1,19,0.5,0.5,3.04,0,0.3,23.34,
2,2019-01-01 00:19:03,2019-01-01 00:39:35,2,13.47,1,N,138,181,2,37,0.5,0.5,0,0,0.3,38.3,
2,2019-01-01 00:56:58,2019-01-01 01:08:13,2,3.87,1,N,261,79,2,13,0.5,0.5,0,0,0.3,14.3,
2,2019-01-01 00:09:55,2019-01-01 00:14:05,1,.90,1,N,263,140,2,5,0.5,0.5,0,0,0.3,6.3,
2,2019-01-01 00:16:51,2019-01-01 00:22:51,1,1.10,1,N,140,229,2,6.5,0.5,0.5,0,0,0.3,7.8,
2,2019-01-01 00:28:40,2019-01-01 00:36:40,1,.56,1,N,162,161,1,6.5,0.5,0.5,1.56,0,0.3,9.36,
2,2019-01-01 00:41:09,2019-01-01 01:05:31,1,1.78,1,N,230,50,1,15,0.5,0.5,2,0,0.3,18.3,
1,2019-01-01 00:25:14,2019-01-01 00:36:32,2,1.50,1,N,231,79,1,9,0.5,0.5,1,0,0.3,11.3,
1,2019-01-01 00:22:28,2019-01-01 00:38:44,2,3.20,1,N,235,42,1,13.5,0.5,0.5,0,0,0.3,14.8,
1,2019-01-01 00:58:05,2019-01-01 01:18:42,3,2.90,1,N,237,48,1,15,0.5,0.5,3.25,0,0.3,19.55,
1,2019-01-01 00:10:23,2019-01-01 00:17:32,1,1.10,1,N,144,232,2,7,0.5,0.5,0,0,0.3,8.3,
1,2019-01-01 00:23:49,2019-01-01 00:43:09,2,4.60,1,N,79,263,2,16.5,0.5,0.5,0,0,0.3,17.8,
1,2019-01-01 00:46:35,2019-01-01 00:52:37,1,1.00,1,N,263,140,1,6.5,0.5,0.5,1,0,0.3,8.8,
1,2019-01-01 00:43:21,2019-01-01 01:14:01,1,17.70,1,N,132,147,2,48,0.5,0.5,0,5.76,0.3,55.06,
1,2019-01-01 00:35:08,2019-01-01 00:42:20,1,.70,1,N,162,170,1,6,0.5,0.5,4,0,0.3,11.3,
1,2019-01-01 00:56:09,2019-01-01 01:01:53,3,.80,1,N,164,170,1,5.5,0.5,0.5,1.35,0,0.3,8.15,
2,2019-01-01 00:35:45,2019-01-01 00:39:38,2,.74,1,N,237,162,2,5,0.5,0.5,0,0,0.3,6.3,
2,2019-01-01 00:10:25,2019-01-01 00:23:55,2,5.28,1,N,87,162,1,17,0.5,0.5,3.66,0,0.3,21.96,
2,2019-01-01 00:26:16,2019-01-01 00:32:44,3,.73,1,N,170,162,2,6,0.5,0.5,0,0,0.3,7.3,
2,2019-01-01 00:40:35,2019-01-01 00:42:33,3,.31,1,N,137,137,2,3.5,0.5,0.5,0,0,0.3,4.8,
2,2019-01-01 00:45:54,2019-01-02 00:42:33,2,1.71,1,N,137,68,2,12.5,0.5,0.5,0,0,0.3,13.8,
2,2019-01-01 00:23:11,2019-01-01 00:23:25,1,.34,5,N,265,265,1,160,0,0,25,0,0.3,185.3,
2,2019-01-01 00:26:24,2019-01-01 00:35:53,1,2.51,1,N,162,238,1,10,0.5,0.5,1.5,0,0.3,12.8,
2,2019-01-01 00:38:52,2019-01-01 00:43:46,1,.93,1,N,43,236,2,5.5,0.5,0.5,0,0,0.3,6.8,
2,2019-01-01 00:46:37,2019-01-02 00:29:38,2,16.48,1,N,236,165,2,48,0.5,0.5,0,0,0.3,49.3,
2,2019-01-01 00:06:36,2019-01-01 00:20:12,1,1.94,1,N,113,137,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,2019-01-01 00:21:11,2019-01-01 00:33:26,1,4.14,1,N,137,45,1,14.5,0.5,0.5,5,0,0.3,20.8,
2,2019-01-01 00:36:05,2019-01-01 00:46:09,1,1.11,1,N,144,232,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:52:19,2019-01-01 01:30:47,1,6.23,1,N,79,198,2,27,0.5,0.5,0,0,0.3,28.3,
2,2019-01-01 00:20:16,2019-01-01 00:24:14,4,.49,1,N,79,148,2,4.5,0.5,0.5,0,0,0.3,5.8,
2,2019-01-01 00:29:03,2019-01-01 00:36:13,3,.78,1,N,144,148,1,6.5,0.5,0.5,2.34,0,0.3,10.14,
2,2019-01-01 00:40:22,2019-01-01 00:45:54,2,1.26,1,N,148,79,1,6,0.5,0.5,1.46,0,0.3,8.76,
2,2019-01-01 00:49:31,2019-01-01 00:59:55,4,1.94,1,N,79,162,1,9,0.5,0.5,3.09,0,0.3,13.39,
2,2019-01-01 00:37:37,2019-01-01 00:47:33,1,1.02,1,N,234,233,1,7.5,0.5,0.5,2,0,0.3,10.8,
2,2019-01-01 00:53:47,2019-01-01 00:59:37,1,1.28,1,N,233,237,1,6.5,0.5,0.5,1.56,0,0.3,9.36,
2,2019-01-01 00:19:52,2019-01-01 00:27:25,1,1.18,1,N,164,68,1,7,0.5,0.5,1.66,0,0.3,9.96,
2,2019-01-01 00:29:10,2019-01-01 00:33:24,1,.20,1,N,68,68,1,4.5,0.5,0.5,1.16,0,0.3,6.96,
2,2019-01-01 00:53:40,2019-01-01 01:06:53,1,2.31,1,N,68,231,1,10.5,0.5,0.5,2.36,0,0.3,14.16,
1,2019-01-01 00:18:31,2019-01-01 00:31:37,1,3.10,1,N,141,41,3,12,0.5,0.5,0,0,0.3,13.3,
1,2019-01-01 00:33:20,2019-01-01 00:39:40,1,1.00,1,N,41,42,1,6,0.5,0.5,1.5,0,0.3,8.8,
1,2019-01-01 00:47:19,2019-01-01 01:00:11,1,2.20,1,N,41,152,2,10.5,0.5,0.5,0,0,0.3,11.8,
1,2019-01-01 00:12:15,2019-01-01 00:15:40,1,.20,1,N,68,246,1,4,0.5,0.5,1.05,0,0.3,6.35,
1,2019-01-01 00:18:58,2019-01-01 00:37:39,2,1.90,1,N,246,170,1,12.5,0.5,0.5,2.75,0,0.3,16.55,
