VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,pickup_borough,pickup_zone,pickup_service_zone,dropoff_borough,dropoff_zone,dropoff_service_zone,trip_duration_minutes,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_dayofweek,pickup_is_weekend,avg_speed_mph,cost_per_mile,tip_percentage,time_of_day,is_inter_borough,revenue_per_minute
1,2019-01-01 00:37:14,2019-01-01 00:39:47,1,0.9,1,N,239,238,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,2.55,2019,1,1,0,1,0,21.18,8.39,25.0,Night,0,2.96
1,2019-01-01 00:41:46,2019-01-01 00:46:23,1,1.2,1,N,238,239,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone,4.62,2019,1,1,0,1,0,15.58,6.08,0.0,Night,0,1.58
1,2019-01-01 00:48:54,2019-01-01 00:54:25,1,1.2,1,N,239,238,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,5.52,2019,1,1,0,1,0,13.04,6.5,0.0,Night,0,1.41
1,2019-01-01 00:57:44,2019-01-01 01:02:11,1,1.3,1,N,238,143,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone,4.45,2019,1,1,0,1,0,17.53,5.62,0.0,Night,0,1.64
1,2019-01-01 00:12:25,2019-01-01 00:27:52,1,0.9,1,N,107,90,1,10.5,0.5,0.5,2.35,0.0,0.3,14.15,,Manhattan,Gramercy,Yellow Zone,Manhattan,Flatiron,Yellow Zone,15.45,2019,1,1,0,1,0,3.5,15.72,22.38,Night,0,0.92
1,2019-01-01 00:38:00,2019-01-01 01:39:59,3,10.7,1,N,125,238,2,46.0,0.5,0.5,0.0,0.0,0.3,47.3,,Manhattan,Hudson Sq,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,61.98,2019,1,1,0,1,0,10.36,4.42,0.0,Night,0,0.76
2,2019-01-01 00:11:09,2019-01-01 00:24:39,1,4.21,1,N,170,238,1,14.0,0.5,0.5,3.82,0.0,0.3,19.12,,Manhattan,Murray Hill,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone,13.5,2019,1,1,0,1,0,18.71,4.54,27.29,Night,0,1.42
2,2019-01-01 00:27:36,2019-01-01 00:31:29,1,1.14,1,N,238,143,1,5.5,0.5,0.5,1.02,0.0,0.3,7.82,,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone,3.88,2019,1,1,0,1,0,17.63,6.86,18.55,Night,0,2.02
2,2019-01-01 00:34:39,2019-01-01 00:53:43,2,4.77,1,N,143,231,1,17.0,0.5,0.5,6.95,0.0,0.3,25.25,,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone,19.07,2019,1,1,0,1,0,15.01,5.29,40.88,Night,0,1.32
2,2019-01-01 00:56:24,2019-01-01 01:00:58,2,0.53,1,N,231,211,1,4.5,0.5,0.5,1.74,0.0,0.3,7.54,,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,SoHo,Yellow Zone,4.57,2019,1,1,0,1,0,6.96,14.23,38.67,Night,0,1.65
